LU,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,NUM_FLOORS
CD,Y,878200,789,169,1
CD,N,817600,752,169,1
CD,Y,849500,792,169,1
CD,N,734400,720,169,1
CD,Y,2162300,1482,169,1
CD,N,438200,468,119,1
CD,N,739400,772,119,1
CD,Y,7683300,3857,119,3
CD,N,623600,494,119,1
CD,N,1415500,1045,119,1
CD,Y,1821500,1386,119,1
A,N,2961500,3650,120,3.5
CD,N,414200,355,129,1
CD,Y,2501000,2300,129,2
CD,Y,891600,909,129,1
CD,N,522200,474,129,1
CD,N,1091000,951,129,1
CD,N,588700,517,129,1
CD,Y,1957000,1416,129,1
CD,Y,1428300,1511,120,1
CD,Y,4663576,3453,120,2
CD,N,3665374,2827,120,3
R1,Y,2678800,1225,119,2
E,N,976027,1435,16,2
CD,N,394914,724,79,1
CD,N,979400,1019,79,1
CD,N,513500,458,79,1
CD,N,720400,679,79,1
CD,Y,745500,743,79,1
CD,N,1061100,1019,79,1
CD,N,530900,450,79,1
CD,Y,712800,679,79,1
CD,N,769300,743,79,1
CD,N,1001400,1019,79,1
CD,N,537300,458,79,1
CD,Y,698100,679,79,1
CD,N,761500,743,79,1
CD,N,1001400,1019,79,1
CD,N,537300,458,79,1
CD,Y,712800,679,79,1
CD,N,763700,743,79,1
CD,N,1217600,1019,79,1
CD,N,1107600,1137,79,1
CD,N,779500,743,79,1
A,N,5333000,4233,120,4.5
CD,Y,2260300,2115,169,2
CD,Y,2495700,2163,169,1
CD,Y,1541800,1425,169,1
CD,Y,1558300,1439,169,1
CD,Y,2022100,1635,169,1
CD,Y,478500,497,139,1
CD,Y,491200,447,139,1
R3,Y,541200,1150,119,3
R3,N,596100,1150,99,3
R3,N,542500,1150,114,3
R3,N,518300,1150,119,3
R2,Y,528400,2010,119,3
R3,N,636500,2500,119,3
R3,N,685000,2500,119,3
R3,Y,703700,2500,119,3
R3,Y,587200,2500,119,3
R3,Y,275600,2500,119,3
R2,Y,629700,2500,119,3
R3,Y,588900,2500,119,3
R3,N,632900,2500,119,3
R3,N,653700,2500,119,3
R2,Y,562200,2500,119,2
R2,Y,551200,5000,120,2
R3,N,478000,2500,119,3
R3,N,640100,2500,119,3
R3,N,939800,2500,119,3
R3,Y,657400,2500,119,3
R1,Y,234500,1238,109,2
R3,Y,609500,2250,119,3
R3,Y,600900,1838,119,3
R3,N,526600,1835,119,3
R3,N,598500,1575,109,3
R2,Y,402200,1263,119,2
R1,Y,375800,1650,119,2
R2,Y,522100,1650,119,2
R3,Y,697000,1700,109,3
R3,N,661500,2500,119,3
R3,Y,723800,2500,119,3
R2,Y,524900,2500,119,2
R1,Y,371500,2500,99,1.5
R2,N,450500,2500,119,2.5
R3,N,503800,2500,119,3
R3,Y,658300,2500,119,3
R3,N,615030,2500,139,2.5
R3,N,615030,2500,119,3
R3,N,663800,2812,119,3
R3,N,559000,1779,119,3
R4,Y,792500,5000,120,3
R1,N,392000,2500,119,1.5
R2,Y,523900,2500,119,2
R3,N,643700,2500,120,3
R3,Y,564900,2500,119,3
R3,Y,745700,2400,119,3
R2,N,503500,2600,119,3
R3,N,623500,2233,119,3
R3,N,559100,1066,119,3
R3,N,644200,1066,119,3
R2,Y,517100,1013,119,3
R4,N,515500,1077,119,3
R1,N,303500,1618,119,2
R1,Y,341900,1864,119,2
R3,N,479400,1640,119,3
R3,N,540700,1640,119,3
C,N,735000,1250,30,1
R3,N,799800,1865,99,3
R3,N,834200,1865,109,3
R2,N,471200,1175,109,2
R2,N,363300,1175,109,2
RC,N,643500,1325,120,3
R2,Y,375700,1325,99,2
R3,N,592200,2500,109,3
R3,N,540600,2500,109,3
R3,Y,632100,2500,109,3
R3,Y,730600,2500,109,3
R2,Y,558200,4659,109,2
R3,Y,704500,2000,109,3
R3,Y,560100,2000,109,3
R2,Y,532000,3125,109,2
R2,Y,539100,3125,109,2
R2,Y,616900,3125,109,2
R3,N,674300,2907,109,3
R2,Y,471800,1657,109,2.5
R3,Y,666200,1505,109,3
R3,N,630700,1520,109,3
RC,N,200298,2191,120,3
C,N,823100,5437,22,1
RC,N,592500,2215,120,3
RC,N,597500,1650,104,3
RC,N,604000,1813,120,3
RC,N,546000,2069,120,3
RC,N,423000,1175,120,3
C,N,234000,1130,105,1
C,N,516000,1885,120,2
C,N,119000,811,120,1
RC,N,294500,1316,120,2.5
RC,Y,439000,1489,120,3
C,N,262000,958,120,1
C,N,1827500,7413,120,2
C,N,412000,4151,89,1
RC,N,348500,2234,120,2
C,N,201000,1092,120,2
RC,N,666000,1197,120,3
RC,N,591500,1410,119,3
R3,Y,621100,2467,109,3
RC,N,787000,6700,109,3
R2,N,555800,3300,114,2
R3,N,654000,2933,119,3
R3,N,609100,3067,114,3
R3,N,782300,4000,119,3
R2,Y,489800,2500,114,3
R3,Y,689400,2500,114,3
R3,N,924056,5000,119,3
R3,N,663600,2500,109,3
R3,N,534500,2500,119,3
R3,N,650600,2522,119,3
R3,Y,795900,2478,119,3
R2,N,496800,1431,114,3
R3,N,531600,1431,89,3
R3,N,743820,1431,114,3
R2,Y,415300,1457,99,2
R2,N,384000,1070,114,2
R1,Y,407500,1606,114,2
E,N,2632500,14125,109,3
C,N,279500,3355,94,1
C,N,221500,1224,89,1.5
RC,N,405500,2201,109,3
R3,Y,379800,3622,119,3
R3,Y,715600,3091,119,3
R3,Y,421100,2500,119,3
R3,Y,595900,2500,119,3
R3,N,535700,2500,119,3
R3,N,710100,2500,119,3
R3,N,713300,3333,109,3
R3,Y,690800,3334,119,3
R3,Y,529200,2500,120,3
R3,N,588000,2500,89,3
R3,N,814300,2500,12,3
R3,Y,601900,2500,119,3
R3,N,588800,2500,119,3
R1,N,404400,1250,159,2
R2,N,493400,1250,114,1.5
R3,N,656800,2500,119,2
R3,Y,633300,2400,119,3
R3,N,518400,2500,119,3
R3,Y,589600,2500,119,3
R3,N,610100,2500,119,3
R3,N,678400,2500,119,3
CD,Y,295200,606,4,1
CD,N,306400,654,4,1
CD,Y,322500,723,4,1
R4,N,593000,1410,119,3
R3,N,563300,1410,120,3
R3,N,542300,1410,119,3
R3,Y,929400,5000,129,3
R3,Y,785700,5000,120,2
R4,N,1624500,5000,4,3
R3,N,646800,2150,119,3
CD,Y,145200,460,120,1
CD,Y,215700,560,120,1
CD,N,223500,630,120,1
CD,Y,288600,720,120,1
CD,Y,169300,346,109,1
CD,Y,234600,476,109,1
CD,Y,243800,573,109,1
CD,N,257700,620,109,1
CD,Y,248900,527,5,1
CD,Y,300500,603,6,1
CD,Y,298800,647,6,1
R3,N,716200,2150,129,3
R3,Y,574900,2500,129,3
R3,N,687000,2500,119,3
R3,N,567500,2522,119,3
R3,N,564100,2477,119,3
R3,Y,550200,2500,119,3
R3,N,536700,2500,119,3
R2,Y,338000,2500,119,2
R1,N,325700,2500,119,2.5
R2,Y,467500,2500,79,2.5
R3,Y,592300,2500,119,3
R3,Y,616300,2500,119,3
R3,Y,651500,2500,119,3
R3,N,759600,3000,119,3
R3,Y,610300,3000,119,3
R3,Y,802600,6424,109,3
R1,Y,337300,3598,109,1.5
R3,Y,712600,6500,109,3
R3,N,790000,5715,109,3
R2,Y,672000,6354,13,2.5
R1,Y,451100,6637,109,2.5
R1,Y,503900,6939,12,2
R3,Y,551300,2500,109,3
R3,N,741000,2500,109,3
R3,N,434200,1618,125,3
R3,Y,493100,1382,99,3
R2,Y,438200,2000,109,2
R2,N,583900,5000,109,2
R2,Y,565900,5000,109,2
R3,Y,631800,3877,109,3
R3,N,764000,4585,120,3
R2,Y,472200,4213,109,2
R2,N,437000,2500,109,2
R1,Y,321800,2500,119,1.5
R2,N,548500,7500,109,2.5
R1,Y,300800,5000,109,1.5
R1,Y,332200,3000,109,2
R1,Y,414500,2000,44,2.5
R1,Y,342100,2500,172,2
R1,Y,385100,2500,109,2
R2,N,581600,5000,109,2
R1,Y,303000,2500,109,2
R1,N,322100,2500,109,2
R1,N,308900,2500,109,1.5
R1,Y,233300,2500,109,1.5
R1,N,358400,2500,109,1.5
R1,N,605600,5000,3,2
R3,Y,864200,13516,109,2.5
R1,Y,338600,5100,109,1.5
R3,N,673700,4490,119,3
R3,Y,553100,4080,109,3
R2,Y,493100,3830,109,2
R1,Y,309900,3580,109,1.5
R2,N,495800,3930,109,2
R1,Y,339400,3570,109,1.5
R2,Y,504500,4200,69,2
R3,N,539500,5930,109,1.5
R1,Y,365700,1870,109,1.5
A,N,1323000,53896,109,3
R2,Y,475900,1680,119,2
R3,Y,572500,3000,109,3
R2,Y,491800,3801,109,2
RC,N,464500,2499,74,2
R2,Y,503600,3700,69,1
